Policy Number,Policy Effective Date,Policy Expiration Date,Product Name/Type,Coverage Limits,Deductible Amount,Premium Amount,Agent/Broker ID,Underwriting Segment/Risk Class
POL83083,2/17/23,2/16/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83084,2/7/23,2/6/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83085,3/28/22,3/27/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83086,6/26/22,6/25/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83087,12/25/23,12/23/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83088,8/30/23,8/28/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83089,7/10/22,7/9/23,Health Basic,5000,250,500,AGT102,Standard
POL83090,10/1/22,9/30/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83091,1/10/22,1/9/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83092,5/24/23,5/22/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83093,11/28/23,11/26/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83094,8/17/22,8/16/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83095,12/30/23,12/28/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83096,12/24/22,12/23/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83097,9/16/22,9/15/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83098,12/19/23,12/17/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83099,8/16/22,8/15/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83100,6/11/23,6/9/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83101,3/11/23,3/9/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83102,4/12/23,4/10/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83103,4/1/23,3/30/24,Health Basic,5000,250,500,AGT103,Standard
POL83104,3/29/23,3/27/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83105,7/26/23,7/24/24,Health Basic,5000,250,500,AGT102,Standard
POL83106,1/18/22,1/17/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83107,1/14/23,1/13/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83108,7/20/23,7/18/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83109,8/2/22,8/1/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83110,9/4/23,9/2/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83111,3/9/22,3/8/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83112,1/25/22,1/24/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83113,1/19/23,1/18/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83114,6/22/22,6/21/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83115,4/21/23,4/19/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83116,5/1/22,4/30/23,Health Basic,5000,250,500,AGT101,Standard
POL83117,8/1/23,7/30/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83118,11/8/23,11/6/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83119,8/6/22,8/5/23,Auto Standard,100000,500,1200,AGT103,Standard
POL83120,7/17/23,7/15/24,Health Basic,5000,250,500,AGT102,Standard
POL83121,5/30/22,5/29/23,Health Basic,5000,250,500,AGT101,Standard
POL83122,3/16/23,3/14/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83123,8/6/22,8/5/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83124,12/9/23,12/7/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83125,10/29/22,10/28/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83126,12/19/23,12/17/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83127,3/26/23,3/24/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83128,8/26/22,8/25/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83129,7/16/23,7/14/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83130,1/26/23,1/25/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83131,6/6/22,6/5/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83132,8/23/22,8/22/23,Health Basic,5000,250,500,AGT101,Standard
POL83133,11/16/23,11/14/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83134,11/10/23,11/8/24,Auto Standard,100000,500,1200,AGT101,Standard
POL83135,6/20/22,6/19/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83136,12/27/22,12/26/23,Health Basic,5000,250,500,AGT103,Standard
POL83137,10/15/22,10/14/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83138,3/21/23,3/19/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83139,1/12/23,1/11/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83140,5/23/23,5/21/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83141,5/7/22,5/6/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83142,7/25/23,7/23/24,Auto Standard,100000,500,1200,AGT101,Standard
POL83143,1/21/22,1/20/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83144,6/21/22,6/20/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83145,12/9/23,12/7/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83146,1/13/22,1/12/23,Health Basic,5000,250,500,AGT102,Standard
POL83147,9/22/23,9/20/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83148,5/30/22,5/29/23,Health Basic,5000,250,500,AGT103,Standard
POL83149,9/26/22,9/25/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83150,12/8/22,12/7/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83151,11/2/23,10/31/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83152,4/20/23,4/18/24,Auto Standard,100000,500,1200,AGT101,Standard
POL83153,3/14/23,3/12/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83154,5/20/23,5/18/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83155,5/8/23,5/6/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83156,5/10/23,5/8/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83157,8/8/22,8/7/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83158,9/18/22,9/17/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83159,3/25/22,3/24/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83160,2/2/22,2/1/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83161,12/13/22,12/12/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83162,5/29/22,5/28/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83163,8/7/23,8/5/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83164,4/8/23,4/6/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83165,4/16/22,4/15/23,Health Basic,5000,250,500,AGT103,Standard
POL83166,1/18/22,1/17/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83167,6/28/23,6/26/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83168,3/14/23,3/12/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83169,10/15/23,10/13/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83170,5/30/22,5/29/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83171,1/21/22,1/20/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83172,5/1/23,4/29/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83173,10/12/23,10/10/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83174,3/27/23,3/25/24,Health Basic,5000,250,500,AGT103,Standard
POL83175,3/8/23,3/6/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83176,11/1/23,10/30/24,Health Basic,5000,250,500,AGT103,Standard
POL83177,3/29/22,3/28/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83178,4/30/23,4/28/24,Health Basic,5000,250,500,AGT103,Standard
POL83179,3/3/23,3/1/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83180,4/13/23,4/11/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83181,10/19/22,10/18/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83182,1/8/22,1/7/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83183,7/19/23,7/17/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83184,4/29/23,4/27/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83185,4/24/22,4/23/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83186,11/2/22,11/1/23,Health Basic,5000,250,500,AGT101,Standard
POL83187,6/14/23,6/12/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83188,9/3/23,9/1/24,Health Basic,5000,250,500,AGT102,Standard
POL83189,11/12/23,11/10/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83190,11/8/23,11/6/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83191,1/28/23,1/27/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83192,7/1/23,6/29/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83193,8/14/22,8/13/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83194,1/8/23,1/7/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83195,8/3/22,8/2/23,Health Basic,5000,250,500,AGT101,Standard
POL83196,4/17/22,4/16/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83197,11/30/22,11/29/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83198,6/26/23,6/24/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83199,6/4/23,6/2/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83200,4/2/23,3/31/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83201,7/26/22,7/25/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83202,1/14/23,1/13/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83203,12/25/22,12/24/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83204,9/21/23,9/19/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83205,3/8/23,3/6/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83206,11/12/23,11/10/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83207,11/28/23,11/26/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83208,3/8/23,3/6/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83209,2/12/23,2/11/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83210,1/14/22,1/13/23,Health Basic,5000,250,500,AGT102,Standard
POL83211,2/14/22,2/13/23,Auto Standard,100000,500,1200,AGT103,Standard
POL83212,2/5/22,2/4/23,Auto Standard,100000,500,1200,AGT103,Standard
POL83213,8/12/22,8/11/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83214,12/27/22,12/26/23,Health Basic,5000,250,500,AGT101,Standard
POL83215,10/13/23,10/11/24,Health Basic,5000,250,500,AGT102,Standard
POL83216,11/4/22,11/3/23,Health Basic,5000,250,500,AGT102,Standard
POL83217,10/24/23,10/22/24,Health Basic,5000,250,500,AGT103,Standard
POL83218,9/11/23,9/9/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83219,3/17/22,3/16/23,Health Basic,5000,250,500,AGT103,Standard
POL83220,7/26/22,7/25/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83221,10/26/22,10/25/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83222,9/22/23,9/20/24,Health Basic,5000,250,500,AGT102,Standard
POL83223,7/1/22,6/30/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83224,1/23/22,1/22/23,Health Basic,5000,250,500,AGT103,Standard
POL83225,7/25/23,7/23/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83226,8/30/23,8/28/24,Health Basic,5000,250,500,AGT101,Standard
POL83227,1/17/22,1/16/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83228,11/6/23,11/4/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83229,4/27/23,4/25/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83230,10/15/22,10/14/23,Health Basic,5000,250,500,AGT101,Standard
POL83231,4/6/23,4/4/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83232,4/7/23,4/5/24,Health Basic,5000,250,500,AGT102,Standard
POL83233,2/4/23,2/3/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83234,1/31/22,1/30/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83235,7/14/22,7/13/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83236,5/10/23,5/8/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83237,12/3/23,12/1/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83238,4/26/22,4/25/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83239,11/11/22,11/10/23,Health Basic,5000,250,500,AGT102,Standard
POL83240,2/5/23,2/4/24,Health Basic,5000,250,500,AGT103,Standard
POL83241,7/3/22,7/2/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83242,12/19/23,12/17/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83243,12/8/22,12/7/23,Health Basic,5000,250,500,AGT102,Standard
POL83244,11/11/23,11/9/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83245,2/5/22,2/4/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83246,12/2/23,11/30/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83247,7/31/23,7/29/24,Health Basic,5000,250,500,AGT103,Standard
POL83248,5/3/23,5/1/24,Health Basic,5000,250,500,AGT102,Standard
POL83249,5/1/22,4/30/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83250,11/29/23,11/27/24,Auto Standard,100000,500,1200,AGT101,Standard
POL83251,11/15/23,11/13/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83252,2/26/22,2/25/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83253,4/2/23,3/31/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83254,8/16/22,8/15/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83255,7/9/23,7/7/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83256,12/26/23,12/24/24,Health Basic,5000,250,500,AGT102,Standard
POL83257,8/2/23,7/31/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83258,7/18/23,7/16/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83259,9/2/22,9/1/23,Health Basic,5000,250,500,AGT101,Standard
POL83260,5/1/23,4/29/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83261,7/9/22,7/8/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83262,3/15/22,3/14/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83263,5/2/23,4/30/24,Health Basic,5000,250,500,AGT103,Standard
POL83264,12/15/23,12/13/24,Health Basic,5000,250,500,AGT102,Standard
POL83265,5/10/23,5/8/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83266,6/17/22,6/16/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83267,9/24/22,9/23/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83268,6/16/22,6/15/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83269,5/4/22,5/3/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83270,6/14/23,6/12/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83271,8/22/22,8/21/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83272,5/18/22,5/17/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83273,12/20/23,12/18/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83274,7/12/23,7/10/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83275,8/12/23,8/10/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83276,5/16/22,5/15/23,Auto Standard,100000,500,1200,AGT103,Standard
POL83277,12/5/23,12/3/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83278,1/6/22,1/5/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83279,8/24/23,8/22/24,Health Basic,5000,250,500,AGT101,Standard
POL83280,9/18/22,9/17/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83281,5/13/22,5/12/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83282,2/4/22,2/3/23,Health Basic,5000,250,500,AGT101,Standard
POL83283,10/17/23,10/15/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83284,2/19/23,2/18/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83285,3/15/23,3/13/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83286,2/23/23,2/22/24,Health Basic,5000,250,500,AGT102,Standard
POL83287,11/8/23,11/6/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83288,1/24/23,1/23/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83289,7/3/23,7/1/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83290,11/4/23,11/2/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83291,1/12/22,1/11/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83292,2/13/23,2/12/24,Health Basic,5000,250,500,AGT102,Standard
POL83293,8/9/22,8/8/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83294,8/24/22,8/23/23,Health Basic,5000,250,500,AGT102,Standard
POL83295,9/21/22,9/20/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83296,11/4/22,11/3/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83297,1/27/23,1/26/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83298,7/20/22,7/19/23,Auto Standard,100000,500,1200,AGT103,Standard
POL83299,2/5/23,2/4/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83300,12/30/22,12/29/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83301,11/18/23,11/16/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83302,2/12/23,2/11/24,Auto Standard,100000,500,1200,AGT101,Standard
POL83303,10/28/23,10/26/24,Health Basic,5000,250,500,AGT101,Standard
POL83304,11/25/23,11/23/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83305,12/17/22,12/16/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83306,7/22/23,7/20/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83307,3/2/23,2/29/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83308,2/7/23,2/6/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83309,4/25/22,4/24/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83310,2/23/23,2/22/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83311,7/18/23,7/16/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83312,8/12/23,8/10/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83313,2/15/22,2/14/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83314,6/2/23,5/31/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83315,9/16/22,9/15/23,Health Basic,5000,250,500,AGT102,Standard
POL83316,10/3/22,10/2/23,Health Basic,5000,250,500,AGT101,Standard
POL83317,12/25/23,12/23/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83318,7/29/22,7/28/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83319,7/17/22,7/16/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83320,4/10/23,4/8/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83321,6/8/23,6/6/24,Health Basic,5000,250,500,AGT101,Standard
POL83322,3/12/22,3/11/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83323,9/18/22,9/17/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83324,4/10/23,4/8/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83325,7/27/23,7/25/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83326,11/29/22,11/28/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83327,9/16/23,9/14/24,Health Basic,5000,250,500,AGT102,Standard
POL83328,8/17/23,8/15/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83329,7/9/23,7/7/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83330,5/7/22,5/6/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83331,4/10/23,4/8/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83332,10/4/23,10/2/24,Health Basic,5000,250,500,AGT103,Standard
POL83333,7/20/22,7/19/23,Health Basic,5000,250,500,AGT103,Standard
POL83334,12/18/23,12/16/24,Health Basic,5000,250,500,AGT103,Standard
POL83335,3/29/23,3/27/24,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83336,11/19/23,11/17/24,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83337,4/5/22,4/4/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83338,10/24/23,10/22/24,Health Basic,5000,250,500,AGT102,Standard
POL83339,1/31/23,1/30/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83340,7/19/22,7/18/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83341,1/14/22,1/13/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83342,11/30/23,11/28/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83343,7/7/23,7/5/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83344,8/27/22,8/26/23,Property Commercial,500000,2000,2500,AGT102,Commercial
POL83345,9/16/23,9/14/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83346,7/24/23,7/22/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83347,5/8/22,5/7/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83348,1/1/23,12/31/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83349,3/26/23,3/24/24,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83350,4/27/22,4/26/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83351,9/23/22,9/22/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83352,1/5/23,1/4/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83353,9/30/22,9/29/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83354,2/18/22,2/17/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83355,3/4/22,3/3/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83356,8/7/22,8/6/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83357,3/6/22,3/5/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83358,3/23/22,3/22/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83359,3/20/23,3/18/24,Health Basic,5000,250,500,AGT103,Standard
POL83360,10/15/23,10/13/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83361,1/10/22,1/9/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83362,7/1/23,6/29/24,Health Basic,5000,250,500,AGT101,Standard
POL83363,2/15/22,2/14/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83364,12/9/22,12/8/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83365,7/19/23,7/17/24,Health Basic,5000,250,500,AGT101,Standard
POL83366,11/7/23,11/5/24,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83367,6/27/22,6/26/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83368,11/17/22,11/16/23,Auto Standard,100000,500,1200,AGT101,Standard
POL83369,7/1/23,6/29/24,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83370,2/16/22,2/15/23,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83371,9/4/23,9/2/24,Health Basic,5000,250,500,AGT101,Standard
POL83372,11/12/22,11/11/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83373,5/30/23,5/28/24,Health Basic,5000,250,500,AGT101,Standard
POL83374,2/15/22,2/14/23,Health Basic,5000,250,500,AGT101,Standard
POL83375,5/21/23,5/19/24,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83376,5/16/23,5/14/24,Health Basic,5000,250,500,AGT101,Standard
POL83377,2/13/22,2/12/23,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83378,9/11/23,9/9/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83379,5/8/22,5/7/23,Property Commercial,500000,2000,2500,AGT103,Commercial
POL83380,2/17/23,2/16/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83381,5/9/23,5/7/24,Auto Standard,100000,500,1200,AGT101,Standard
POL83382,12/4/23,12/2/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83383,9/18/22,9/17/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83384,5/22/23,5/20/24,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83385,4/18/22,4/17/23,Auto Standard,100000,500,1200,AGT102,Standard
POL83386,5/6/23,5/4/24,Workers' Comp Small Business,50000,0,1000,AGT103,Small Business
POL83387,6/6/23,6/4/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83388,11/7/22,11/6/23,Health Basic,5000,250,500,AGT101,Standard
POL83389,6/16/22,6/15/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83390,11/27/22,11/26/23,Health Basic,5000,250,500,AGT103,Standard
POL83391,1/15/23,1/14/24,Auto Standard,100000,500,1200,AGT103,Standard
POL83392,1/2/23,1/1/24,Health Basic,5000,250,500,AGT102,Standard
POL83393,2/18/23,2/17/24,Health Basic,5000,250,500,AGT102,Standard
POL83394,6/24/23,6/22/24,Auto Standard,100000,500,1200,AGT102,Standard
POL83395,5/30/23,5/28/24,Homeowners Plus,300000,1000,1800,AGT103,Preferred
POL83396,10/20/22,10/19/23,Homeowners Plus,300000,1000,1800,AGT101,Preferred
POL83397,5/7/22,5/6/23,Workers' Comp Small Business,50000,0,1000,AGT101,Small Business
POL83398,11/20/22,11/19/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83399,11/15/22,11/14/23,Workers' Comp Small Business,50000,0,1000,AGT102,Small Business
POL83400,8/17/22,8/16/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83401,11/26/22,11/25/23,Health Basic,5000,250,500,AGT101,Standard
POL83402,10/18/22,10/17/23,Property Commercial,500000,2000,2500,AGT101,Commercial
POL83403,12/15/22,12/14/23,Auto Standard,100000,500,1200,AGT103,Standard
POL83404,2/10/22,2/9/23,Homeowners Plus,300000,1000,1800,AGT102,Preferred
POL83405,6/13/22,6/12/23,Auto Standard,100000,500,1200,AGT103,Standard
